
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server

  2026-05-19 15:46:06 / .................................................................................... ~ 5 giây
  2026-05-19 15:46:12 /build/assets/app-D0xft3TR.css ..................................................... ~ 515.78ms
  2026-05-19 15:46:12 /build/assets/app-B2ie28WF.js ...................................................... ~ 521.04ms
  2026-05-19 15:46:12 /build/assets/trangChu-l0sNRNKZ.js .................................................. ~ 11.31ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730033_imported_dddb8b697af0a7043a46ff1582c69dbe.png .... ~ 0.82ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730032_imported_d1624730cc02674342bf9d65ff3e4859.png .... ~ 4.05ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730030_imported_ab7dfa25d15b1fbf63fce91ea3d4a115.png .... ~ 6.09ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730024_imported_a743b0439cad7ca5b55ced264df4b5b3.png .... ~ 8.09ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730024_imported_ea9cca82768296fd43fb58c582b86adb.png .... ~ 6.16ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730032_imported_f869239465d44a679dfb7e67916643da.png ... ~ 10.69ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778729998_imported_9a8cfa1e1d94a02d8556be606cfebd94.png .... ~ 4.19ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1779163404_0_7.png ......................................... ~ 13.79ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730001_imported_662f6d759b3735b800bae04a4132dde4.png .... ~ 7.15ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778729969_imported_bf53ca0861ddb9607dd8140588ee81a0.png .... ~ 4.31ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730009_imported_9beeefa4cbfc7ede363311a4fc469ee6.png .... ~ 1.49ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778729984_imported_b0bda4678e69a60c44a7f6dbcd349088.png .... ~ 2.42ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730016_imported_b2a7e1761c3d4ae2d07eda203149ce44.png ... ~ 15.53ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778730007_imported_42128889293ff9f0d4c26fffe2be07f9.png .... ~ 0.54ms
  2026-05-19 15:46:12 /storage/uploads/sanpham/1778729849_imported_9f6b831975ea3a8616abaab9b9a08620.jpg .... ~ 7.42ms
  2026-05-19 15:46:12 /favicon.ico ......................................................................... ~ 0.30ms
  2026-05-19 15:46:47 / .................................................................................. ~ 518.37ms
  2026-05-19 15:46:47 /build/assets/app-D0xft3TR.css ....................................................... ~ 0.58ms
  2026-05-19 15:46:47 /build/assets/app-B2ie28WF.js ........................................................ ~ 3.83ms
  2026-05-19 15:46:47 /build/assets/trangChu-l0sNRNKZ.js ................................................... ~ 6.79ms
  2026-05-19 15:46:47 /storage/uploads/sanpham/1778730033_imported_dddb8b697af0a7043a46ff1582c69dbe.png .... ~ 0.61ms
  2026-05-19 15:46:47 /storage/uploads/sanpham/1778730032_imported_d1624730cc02674342bf9d65ff3e4859.png .... ~ 2.83ms
  2026-05-19 15:46:47 /storage/uploads/sanpham/1779163404_0_7.png .......................................... ~ 4.58ms
  2026-05-19 15:46:47 /storage/uploads/sanpham/1778730032_imported_f869239465d44a679dfb7e67916643da.png .... ~ 6.34ms
  2026-05-19 15:46:47 /storage/uploads/sanpham/1778730030_imported_ab7dfa25d15b1fbf63fce91ea3d4a115.png .... ~ 7.41ms
  2026-05-19 15:46:47 /storage/uploads/sanpham/1778730024_imported_a743b0439cad7ca5b55ced264df4b5b3.png .... ~ 8.70ms
  2026-05-19 15:46:48 /storage/uploads/sanpham/1778730024_imported_ea9cca82768296fd43fb58c582b86adb.png .... ~ 2.23ms
