====================================================
   KIỂM TRA TỒN KHO SẢN PHẨM - SHOP AUTH
====================================================

❌ BIẾN THỂ HẾT HÀNG (tồn kho = 0) — Có 813 biến thể
--------------------------------------------------------------------------------------------------------------
ID     | Mã SKU            | Tên biến thể                          | Tên chung (nhóm)        | Nhãn hiệu | Tồn kho
--------------------------------------------------------------------------------------------------------------
301    | JC5774-XS          | Áo Adicolor 3-Stripes Regular Long Sleeve  | Áo Adicolor 3-Stripes Reg | Adidas       | 0
302    | JC5774-S           | Áo Adicolor 3-Stripes Regular Long Sleeve  | Áo Adicolor 3-Stripes Reg | Adidas       | 0
303    | JC5774-M           | Áo Adicolor 3-Stripes Regular Long Sleeve  | Áo Adicolor 3-Stripes Reg | Adidas       | 0
304    | JC5774-L           | Áo Adicolor 3-Stripes Regular Long Sleeve  | Áo Adicolor 3-Stripes Reg | Adidas       | 0
305    | JC5774-XL          | Áo Adicolor 3-Stripes Regular Long Sleeve  | Áo Adicolor 3-Stripes Reg | Adidas       | 0
80     | IY7228-XL          | Áo Adidas Adicolor 3-Stripes Pinstripe  Bl | Áo Adidas Adicolor 3-Stri | Adidas       | 0
76     | IY7228-XS          | Áo Adidas Adicolor 3-Stripes Pinstripe  Bl | Áo Adidas Adicolor 3-Stri | Adidas       | 0
77     | IY7228-S           | Áo Adidas Adicolor 3-Stripes Pinstripe  Bl | Áo Adidas Adicolor 3-Stri | Adidas       | 0
78     | IY7228-M           | Áo Adidas Adicolor 3-Stripes Pinstripe  Bl | Áo Adidas Adicolor 3-Stri | Adidas       | 0
79     | IY7228-L           | Áo Adidas Adicolor 3-Stripes Pinstripe  Bl | Áo Adidas Adicolor 3-Stri | Adidas       | 0
436    | JD4969-XS          | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
438    | JD4969-M           | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
439    | JD4969-L           | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
440    | JD4969-XL          | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
113    | JD4968-XS          | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
114    | JD4968-S           | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
115    | JD4968-M           | Áo Adidas Adicolor 3S Raglan Tee Lifestyle | Áo Adidas Adicolor 3S Rag | Adidas       | 0
